Movie Name,Genre,Ratings,Voting Counts,Duration
A Man's Promise,Romance,7.2,41,94
A Mary Little Christmas,Comedy,9.2,15,94
A Melty Kiss Lost in the Abyss - Un Dolce Bacio Perduto nell'Abisso -,Horror,6.7,0,91
A Mensageira,"Drama, Thriller",6.7,0,94
A Merry Royal Christmas,Romance,5.2,136,88
A Million Minutes,Drama,6.6,1000,94
A Million Smiles,Documentary,6.7,0,94
A Minor Malfunction,"Romance, Comedy",6.7,0,94
A Mirror of Deception,Thriller,7.2,9,87
A Mistake,"Drama, Thriller",5.5,714,94
A Moeda-Viva,Drama,6.7,0,94
A Moonless Night,Fantasy,6.7,0,94
A Most Atrocious Thing,"Horror, Comedy",3.8,248,75
A Mother Apart,Documentary,8.8,10,94
A Mother's Embrace,Horror,5.8,545,90
A Mother's Hope,Drama,6.7,0,94
A Mother's Lie,Romance,6.7,0,94
A Mountain Between Us,Romance,5.3,33,89
A Mulher que Chora,Drama,6.7,0,94
A Muzzarell,Drama,8.9,64,94
A NORMAL LIFE,Documentary,6.7,0,94
A Nanny's Revenge,"Drama, Thriller",3.9,166,94
A Nashville Wish,"Family, Drama",5.6,86,94
A New Day,Drama,6.7,0,94
A New Kind of Wilderness,Documentary,7.6,1100,94
A New Start - An Interview with Actor Gabriel Bateman,Documentary,6.7,0,94
A New Year's Ride,Comedy,8.9,351,94
A New York Story,Drama,4.8,125,94
A Nice Indian Boy,"Drama, Romance, Comedy",7.1,138,96
A Nice Jewish Boy,Comedy,6.2,299,89
A Night in 2005,Drama,4.3,61,94
A Night in July,Romance,6.7,0,88
A Night of Fate,Drama,6.7,0,94
A Night with My Crush,Comedy,6.7,0,73
A Noiva,Horror,6.7,0,73
A Nose and Three Eyes,Drama,5.7,127,94
A Part of You,Drama,5.7,2800,94
A Party for Karl Marx,"Sci-Fi, Horror, Comedy",6.7,0,74
A Pathway Forward,Documentary,6.7,0,94
A Pedra Sonha dar Flor,Drama,6.5,31,94
A Permanently Open Window,Drama,6.7,0,94
A Photographic Memory,Documentary,7.3,22,94
A Piece of Home,"Sport, Documentary, Drama",6.7,0,94
A Place Called Love,Romance,6.7,0,94
A Place Called Silence,"Mystery, Drama, Crime",6.5,1200,94
A Place Under the Sun,"Drama, Crime",9.2,33,94
A Place for Ola,Drama,6.7,0,94
A Player's Heart,Romance,6.7,0,96
A Portrait of Love,Documentary,6.7,0,94
A Postcard from Rome,"Drama, Comedy",7.3,160,88
A Procura de Martina,Drama,6.7,0,94
A Question of Guilt,"Mystery, Drama, Crime",6.4,20,94
A Quiet Girl,Documentary,7.5,26,94
A Quiet Place: Day One,"Sci-Fi, Drama, Horror, Thriller",6.3,144000,94
A Radical Act: Renee Montgomery,Documentary,7.9,31,94
A Ramble Towards Rain,Drama,6.7,0,94
A Real Encounter,Action,6.8,7,94
A Real Pain,"Drama, Comedy",7.1,72000,90
A Reel Heist,"Crime, Comedy, Action",5.2,57,94
A Relatively Happy Day,Drama,6.7,0,94
A Resilient Man,Documentary,7.4,35,94
A Ride for Love,Romance,6.7,0,93
A Ride to Love,Drama,6.7,0,94
A Right to Home,Documentary,6.7,0,94
A Ringing in the Ears,Drama,6.7,0,94
A Rose in Concrete,Drama,6.7,0,94
A Sacred Space,Documentary,6.7,0,94
A Sacrifice,"Mystery, Drama, Horror, Thriller",5.1,5000,94
A Savior Red,"Horror, Thriller",6.5,195,87
A School Grows in Watts,Documentary,6.7,0,94
A Second Glance,Mystery,6.7,0,94
A Sense of Beauty,Documentary,6.7,0,94
A Sentimental Journey to the Parajanov Planet,Documentary,7.1,8,94
A Serena Onda que o Mar me Trouxe,Biography,6.7,0,73
A Series of Unfortunate Events,Drama,6.7,0,94
A Shaman's Tale,Documentary,6.7,0,94
A Shrine,Drama,7.4,15,94
A Silent Crime,"Thriller, Comedy",6.7,0,94
A Simple Plan Commentary with Production Designer Patrizia von Brandenstein,Documentary,6.7,0,94
A Sisters' Tale,Documentary,6.6,26,94
A Slice of Misconception,Comedy,6.7,0,90
A Sloth Story,"Animation, Adventure, Family",6.2,145,90
A Sobering Story,Documentary,9.8,22,94
A Soldier for Christmas,"Drama, Romance",6.7,0,94
A Song and a Prayer,Drama,6.7,0,94
A Song for Eresha,Drama,6.7,0,94
A Song for Juliette,"Drama, Romance",6.7,0,94
A Song from the Dark,"Mystery, Drama, Fantasy",4.8,2200,94
A Song of Korean Factory Girls,Documentary,6.7,0,94
A Soweto Love Story,"Romance, Comedy",4.4,281,101
A Splash of Colour,Documentary,6.7,0,94
A Stab at Heaven,Drama,6.7,0,94
A Starlet's Demise,Drama,6.7,0,94
A State of Passion,Documentary,8.2,10,94
A Story of Redemption A Season with Warrior Basketball,Documentary,6.7,0,94
A Strange Colour of Dream,Documentary,6.7,0,94
A Strange House,"Mystery, Thriller",5.5,302,94
A Stranger by the Hill,Thriller,6.7,0,100
A Stranger in the Woods,"Mystery, Drama, Horror",4.1,462,94
A Stranger's Child,"Mystery, Thriller",5.3,131,94
A Stripper's Dance,Drama,5.2,12,94
A Sudden Case of Christmas,"Family, Comedy",5.1,1100,91
A Sudden Glimpse to Deeper Things,Documentary,6,61,94
A Szobor,Thriller,6.7,0,94
A Séance with the Queens,Documentary,6.7,0,94
A Teacher's Gift,"Drama, Romance",6.7,0,94
A Teenage Tragedy,"Drama, Horror, Thriller",6.7,0,94
A Thing Called Love,Romance,6.7,0,86
A Thousand Cuts,"Mystery, Comedy",6.7,0,94
A Thousand Forests,Drama,6.7,0,94
A Threnody (One of Many...),Drama,6.7,0,94
A Time Apart,Drama,6.7,0,94
A Time Traveler 2492: Apocalypse,Sci-Fi,6.7,0,94
A Time Traveler 2492: Episode III,Sci-Fi,6.7,0,94
A Time to Die,"Horror, Comedy",6.7,0,105
A Time to Heal,Drama,6.7,0,94
A Time to Yell: More Than a Statue,Documentary,6.7,0,94
A Toast to Love,Romance,6.1,104,89
A Traveler's Needs,Drama,6.5,776,94
A Trip Elsewhere,"Fantasy, Adventure, Drama, Comedy",5.4,88,93
A Trip to the Village,Drama,6.7,0,94
A True Gentleman,"Drama, Romance",4.5,2000,94
A Tuesday Wedding,Comedy,7.2,20,95
A Twisted Affair,Drama,5.4,17,94
A Valentine's Day,Crime,8.4,9,94
A Vanished Puppet,"Horror, Thriller",6.7,0,85
A Very Bayou Holiday,"Romance, Comedy",4.6,9,87
A Very Flattened Christmas,"Horror, Comedy",6.1,35,95
A Very Merry TV Adventure,Musical,6.7,0,94
A Vida é Assim,Drama,6.7,0,94
A Vilã das Nove,"Drama, Comedy",6.7,46,103
A Vintage Christmas,Romance,6.5,346,94
A Violent Breakup,"Drama, Comedy",6.7,0,94
A Voz que Resta,Drama,6.7,0,94
A Wall Away,"Romance, Comedy",5,74,90
A Want in Her,Documentary,8.1,14,94
A Way Out 3,Comedy,6.7,0,91
A Wedding Story,Horror,5.2,2200,110
A Whale-Riding Teenager,Drama,6.7,0,94
A Whole Lotta Lenny,Comedy,6.7,0,59
A Widow Seduced,Thriller,5,175,82
A Wife by Default,"Romance, Comedy",6.7,0,88
A Will and A Way,Documentary,9.7,6,94
A Witch Lives in the Attic,"Drama, Horror",6.7,0,94
A Wolf in Sheep's Clothing,Documentary,6.7,0,94
A Woman with a Wooden Cart,Mystery,6.7,0,94
A Woman's Heart,Drama,6.7,0,94
A Woman's Plight,Drama,6.7,0,94
A Year in the Life of a Country,Documentary,7,12,94
A boy who dreamt of electricity,Drama,9.5,7,94
A dangerous boy,"Documentary, Biography",6.9,64,90
A kiút,"Mystery, Drama, Thriller",9.6,57,94
A la deriva,Drama,6.7,0,94
